,session_name,timestamp,27261,27160,27226,27263
760,f-formation,1630388353,0,0,-1,1
761,f-formation,1630388354,0,0,-1,1
762,f-formation,1630388355,0,0,-1,1
763,f-formation,1630388356,0,0,-1,1
764,f-formation,1630388357,0,0,-1,1
765,f-formation,1630388358,0,0,-1,1
766,f-formation,1630388359,0,0,-1,1
767,f-formation,1630388360,0,0,-1,1
768,f-formation,1630388361,0,0,-1,1
769,f-formation,1630388362,0,0,-1,1
770,f-formation,1630388363,0,0,-1,1
771,f-formation,1630388364,0,0,-1,1
772,f-formation,1630388365,0,0,-1,1
773,f-formation,1630388366,0,0,-1,1
774,f-formation,1630388367,0,0,-1,1
775,f-formation,1630388368,0,1,-1,0
776,f-formation,1630388369,0,0,-1,1
777,f-formation,1630388370,0,0,-1,0
778,f-formation,1630388371,0,1,-1,0
779,f-formation,1630388372,0,1,-1,0
780,f-formation,1630388373,0,1,-1,0
781,f-formation,1630388374,0,1,-1,0
782,f-formation,1630388375,0,1,-1,0
783,f-formation,1630388376,0,1,-1,0
784,f-formation,1630388377,0,1,-1,0
785,f-formation,1630388378,0,1,-1,0
786,f-formation,1630388379,0,1,-1,0
787,f-formation,1630388380,0,1,-1,1
788,f-formation,1630388381,0,1,-1,1
789,f-formation,1630388382,0,1,-1,1
790,f-formation,1630388383,0,1,-1,1
791,f-formation,1630388384,0,1,-1,1
792,f-formation,1630388385,0,1,-1,1
793,f-formation,1630388386,1,0,-1,1
794,f-formation,1630388387,1,1,-1,1
795,f-formation,1630388388,1,1,-1,1
796,f-formation,1630388389,1,0,-1,1
797,f-formation,1630388390,1,1,-1,0
798,f-formation,1630388391,0,1,-1,0
799,f-formation,1630388392,0,0,-1,1
800,f-formation,1630388393,0,0,-1,0
801,f-formation,1630388394,0,0,-1,0
802,f-formation,1630388395,0,0,-1,1
803,f-formation,1630388396,1,0,-1,1
804,f-formation,1630388397,1,0,-1,1
805,f-formation,1630388398,0,0,-1,0
806,f-formation,1630388399,0,0,-1,0
807,f-formation,1630388400,0,0,-1,0
808,f-formation,1630388401,0,0,-1,0
809,f-formation,1630388402,0,0,-1,0
810,f-formation,1630388403,0,0,-1,0
811,f-formation,1630388404,0,0,-1,0
812,f-formation,1630388405,0,0,-1,0
813,f-formation,1630388406,0,0,-1,0
814,f-formation,1630388407,0,0,-1,0
815,f-formation,1630388408,0,0,-1,0
816,f-formation,1630388409,0,0,-1,0
817,f-formation,1630388410,0,0,-1,0
818,f-formation,1630388411,0,0,-1,0
819,f-formation,1630388412,0,0,-1,0
820,f-formation,1630388413,0,0,-1,0
821,f-formation,1630388414,0,0,-1,0
822,f-formation,1630388415,0,0,-1,0
823,f-formation,1630388416,0,0,-1,0
824,f-formation,1630388417,0,0,-1,0
825,f-formation,1630388418,0,0,-1,0
826,f-formation,1630388419,0,0,-1,0
827,f-formation,1630388420,0,0,-1,0
828,f-formation,1630388421,0,0,-1,0
829,f-formation,1630388422,0,0,-1,0
830,f-formation,1630388423,0,0,-1,0
831,f-formation,1630388424,0,0,-1,0
832,f-formation,1630388425,0,0,-1,0
833,f-formation,1630388426,0,0,-1,0
834,f-formation,1630388427,0,0,-1,1
835,f-formation,1630388428,0,0,-1,1
836,f-formation,1630388429,0,0,-1,1
837,f-formation,1630388430,0,0,-1,1
838,f-formation,1630388431,0,0,-1,0
839,f-formation,1630388432,0,0,-1,0
840,f-formation,1630388433,0,0,-1,0
841,f-formation,1630388434,0,0,-1,0
842,f-formation,1630388435,0,0,-1,0
843,f-formation,1630388436,0,0,-1,0
844,f-formation,1630388437,0,0,-1,0
845,f-formation,1630388438,0,0,-1,1
846,f-formation,1630388439,0,0,-1,1
847,f-formation,1630388440,0,0,-1,0
848,f-formation,1630388441,0,0,-1,1
849,f-formation,1630388442,0,0,-1,1
850,f-formation,1630388443,0,0,-1,0
851,f-formation,1630388444,0,0,-1,0
852,f-formation,1630388445,0,0,-1,1
853,f-formation,1630388446,0,0,-1,1
854,f-formation,1630388447,0,0,-1,1
855,f-formation,1630388448,0,0,-1,1
856,f-formation,1630388449,0,0,-1,1
857,f-formation,1630388450,0,0,-1,1
858,f-formation,1630388451,0,0,-1,1
859,f-formation,1630388452,0,0,-1,1
860,f-formation,1630388453,0,0,-1,1
861,f-formation,1630388454,0,0,-1,1
862,f-formation,1630388455,0,0,-1,1
863,f-formation,1630388456,0,0,-1,0
864,f-formation,1630388457,0,0,-1,0
865,f-formation,1630388458,0,0,-1,0
866,f-formation,1630388459,0,0,-1,1
867,f-formation,1630388460,0,0,-1,1
868,f-formation,1630388461,0,0,-1,0
869,f-formation,1630388462,0,0,-1,0
870,f-formation,1630388463,0,0,-1,0
871,f-formation,1630388464,0,0,-1,0
872,f-formation,1630388465,0,0,-1,0
873,f-formation,1630388466,0,0,-1,0
874,f-formation,1630388467,0,0,-1,0
875,f-formation,1630388468,0,0,-1,0
876,f-formation,1630388469,0,0,-1,0
877,f-formation,1630388470,0,0,-1,1
878,f-formation,1630388471,0,0,-1,0
879,f-formation,1630388472,0,0,-1,0
880,f-formation,1630388473,0,0,-1,0
881,f-formation,1630388474,0,0,-1,1
882,f-formation,1630388475,0,0,-1,1
883,f-formation,1630388476,0,0,-1,1
884,f-formation,1630388477,0,0,-1,1
885,f-formation,1630388478,0,0,-1,1
886,f-formation,1630388479,0,0,-1,1
887,f-formation,1630388480,0,0,-1,1
888,f-formation,1630388481,0,0,-1,1
889,f-formation,1630388482,0,0,-1,1
890,f-formation,1630388483,0,0,-1,1
891,f-formation,1630388484,0,0,-1,1
892,f-formation,1630388485,0,0,-1,1
893,f-formation,1630388486,0,0,-1,1
894,f-formation,1630388487,0,0,-1,1
895,f-formation,1630388488,0,0,-1,1
896,f-formation,1630388489,0,0,-1,1
897,f-formation,1630388490,0,0,-1,1
898,f-formation,1630388491,0,0,-1,1
899,f-formation,1630388492,0,0,-1,1
900,f-formation,1630388493,0,0,-1,1
901,f-formation,1630388494,0,0,-1,1
902,f-formation,1630388495,0,0,-1,1
903,f-formation,1630388496,0,0,-1,1
904,f-formation,1630388497,0,0,-1,1
905,f-formation,1630388498,0,0,-1,1
906,f-formation,1630388499,0,0,-1,1
907,f-formation,1630388500,0,0,-1,1
908,f-formation,1630388501,0,0,-1,1
909,f-formation,1630388502,0,0,-1,1
910,f-formation,1630388503,0,0,-1,1
911,f-formation,1630388504,0,0,-1,1
912,f-formation,1630388505,0,0,-1,1
913,f-formation,1630388506,0,0,-1,1
914,f-formation,1630388507,0,0,-1,1
915,f-formation,1630388508,0,0,-1,1
916,f-formation,1630388509,0,0,-1,1
917,f-formation,1630388510,0,0,-1,1
918,f-formation,1630388511,0,0,-1,1
919,f-formation,1630388512,0,0,-1,1
